rule_id,title,path,origin,status,level,references_sysmon,static_scope_eligible,exclusion_reasons,sha256
f2200f88-34e8-ad86-b006-fc01b177fad9,Uncommon Link.EXE Parent Process,sigma/builtin/process_creation/proc_creation_win_link_uncommon_parent_process.yml,sigma,test,medium,False,False,,0d71d29514cf95bc1ee9488914002437ea6032fa41f0f24a71fd953867305c69
57428c1a-2716-80c7-6059-bb8408c50569,Rebuild Performance Counter Values Via Lodctr.EXE,sigma/builtin/process_creation/proc_creation_win_lodctr_performance_counter_tampering.yml,sigma,test,medium,False,False,,ee346747f4c92ace6b94f2f8d74e72141f4c985bb11d501f7d8e18154b9eca22
b4f46720-2a2a-38d0-a77b-cd70dfbd3151,Suspicious Windows Trace ETW Session Tamper Via Logman.EXE,sigma/builtin/process_creation/proc_creation_win_logman_disable_eventlog.yml,sigma,test,high,False,False,,0069ad317ed2db3624986728f595af2f868fc0a4b5113b8a9c9fde6b495ad1b9
30f60c05-7105-c523-3ab6-698b29aebbce,LOLBAS Data Exfiltration by DataSvcUtil.exe,sigma/builtin/process_creation/proc_creation_win_lolbin_data_exfiltration_by_using_datasvcutil.yml,sigma,test,medium,False,False,,8345f6da5d4fbf59ff74a16fbe69d9ca4cd7b6845d4ea57b6abe9ce6fca34657
415d9b8e-8ea7-ce1d-44e5-f124d411e636,Devtoolslauncher.exe Executes Specified Binary,sigma/builtin/process_creation/proc_creation_win_lolbin_devtoolslauncher.yml,sigma,test,high,False,False,,a81703c655a346ea3543a5e21d6b541a784c2e10c8360c553d75c4e029f2eba3
555c9e0e-bd1c-accd-f824-11a77ca76819,Suspicious Diantz Alternate Data Stream Execution,sigma/builtin/process_creation/proc_creation_win_lolbin_diantz_ads.yml,sigma,test,medium,False,False,,210a8c68d6edd4a218d7a23d03112f8e7cc03bd3d5b9363af28d5ebaaa98757b
4657b559-a0fa-d23b-e35c-9cde37b20f8c,Suspicious Diantz Download and Compress Into a CAB File,sigma/builtin/process_creation/proc_creation_win_lolbin_diantz_remote_cab.yml,sigma,test,medium,False,False,,21abb0a0443d6b28d1dcaa6161a9dd23d6b7a93b5de7f967d2e4b38242ee6bda
1a6983b5-f09c-767b-3ebe-349e7cde3c8e,Suspicious Extrac32 Execution,sigma/builtin/process_creation/proc_creation_win_lolbin_extrac32.yml,sigma,test,medium,False,False,,4aee06c3024e5506ce5ade944696ffe6e278e1d4a5313797c28470167e6c7255
5df3c3b4-3daf-3385-fdf0-4b5612003633,Suspicious Extrac32 Alternate Data Stream Execution,sigma/builtin/process_creation/proc_creation_win_lolbin_extrac32_ads.yml,sigma,test,medium,False,False,,3d1017e8e2d3f99a87223f0602735a81a15185e7e533b16e352f4fafe6de0b3a
a81ad1b6-b20d-14f9-7c3a-e41f81fd519f,Potential Reconnaissance Activity Via GatherNetworkInfo.VBS,sigma/builtin/process_creation/proc_creation_win_lolbin_gather_network_info.yml,sigma,test,medium,False,False,,b922c809eb40eedf3033f7bf40a7eefd7de468a37ca55df11f84ad99c7b490a4
0a1228c0-6754-8156-d07f-6aa2daece740,Gpscript Execution,sigma/builtin/process_creation/proc_creation_win_lolbin_gpscript.yml,sigma,test,medium,False,False,,413584462d9de644716f0f72e031f011f94a104ddf2e59fa502daaf7ee65ed2b
a296b8da-2f61-8a80-7fa6-f2063c0b5969,Ie4uinit Lolbin Use From Invalid Path,sigma/builtin/process_creation/proc_creation_win_lolbin_ie4uinit.yml,sigma,test,medium,False,False,,8454f032a220e7ce97085863d31ffe803a6d46821ffd5541e0eda434dc183176
ba78b609-b5f0-41e2-1081-e3424cdfe02d,Launch-VsDevShell.PS1 Proxy Execution,sigma/builtin/process_creation/proc_creation_win_lolbin_launch_vsdevshell.yml,sigma,test,medium,False,False,,23cde20d8c68282b7ec3b119853aab3ccc617169e02d2ec8bac4eb89056dff8d
35e14148-f5cd-9d4d-90bb-e63d555a1a02,Potential Manage-bde.wsf Abuse To Proxy Execution,sigma/builtin/process_creation/proc_creation_win_lolbin_manage_bde.yml,sigma,test,high,False,False,,1205e8a9a5b765c875f0c4e84138293c16365f9a22a72b6cc4eec63375154e65
f477a622-8a8a-8528-fd42-9362defe645e,Mavinject Inject DLL Into Running Process,sigma/builtin/process_creation/proc_creation_win_lolbin_mavinject_process_injection.yml,sigma,test,high,False,False,,9a7f27ce542c13bf07b35ece44b693f793f1de51adc26a5b22aaf8164ef7b4fb
9a2d19cf-4378-c7a2-7a77-b268c7875c7c,MpiExec Lolbin,sigma/builtin/process_creation/proc_creation_win_lolbin_mpiexec.yml,sigma,test,high,False,False,,8d4c13f27a4901e859a4c34a68a441c903477880c05ed9aec9f0889f29540f60
c0cc4271-ed56-6236-e21a-e9db92f30d97,Execute Files with Msdeploy.exe,sigma/builtin/process_creation/proc_creation_win_lolbin_msdeploy.yml,sigma,test,medium,False,False,,a49765182b78c238d22f0adfc59b49dfb488a162f8e3b3b4233420a2d0caec34
